,age,discordid,minecraftid,client,version
0,14.0,ProGamer300#3331,ProGamer300 ,Computer ( Java Edition ),Cracked
1,19.0,@shrey#4934,shrey_jain_,Computer ( Java Edition ),Cracked
2,18.0,Skullfaced#8657,Skullfaceddeath,Computer ( Java Edition ),Paid Version
3,17.0,Op DzGhOsT#8719 ,DzGHoST1737 ,Computer ( Java Edition ),Cracked
4,15.0,Dwijesh#6020,Dwijesh YT,Mobile ( bedrock version ),Paid Version
5,15.0,KillerBunnyYP#8577,KillerBunnyYP,Computer ( Java Edition ),Cracked
6,20.0,@Ritzvish8842,Ritzvish,Computer ( Java Edition ),Cracked
7,16.0,@'-HøŇəýØp ᵇᵃᵛˡᵃ#0069,HoNeyOp,Computer ( Java Edition ),Cracked
8,21.0,LAPOGY#1515,LAPOGY,Computer ( Java Edition ),Paid Version
9,17.0,Magestic Plan #2063,Magestic,Computer ( Java Edition ),Cracked
10,21.0,Sudhanvaraj live#8511,Sudhanva2001,Computer ( Java Edition ),Paid Version
11,16.0,vijayrane67#8595,CraftyKitten975,Mobile ( bedrock version ),Cracked
12,21.0,Captain S_J#5702,Captain_S_J,Computer ( Java Edition ),Cracked
13,26.0,Anuj#4023,anujdhone,Computer ( Java Edition ),Cracked
14,17.0,@Bulbul#3297,iamharsh3000,Computer ( Java Edition ),Cracked
15,17.0,Mr.Random Ke Pair Ka Bal #0011,Yoda4211,Computer ( Java Edition ),Paid Version
16,20.0,@imran#4121,imran121,Computer ( Java Edition ),Cracked
17,18.0,Fahad#0214,Tedmaster007,Mobile ( bedrock version ),Paid Version
18,15.0,Aviral3007,Amphion,Computer ( Java Edition ),Cracked
19,16.0,BЯИÐ 𝈊Ayushsingla#8584,GivenParty59746,Mobile ( bedrock version ),Cracked
20,21.0,Mannan0#4116,Mannan7860,Computer ( Java Edition ),Paid Version
21,16.0,F!RE| ΣX丶 AP IS OPᴼʷⁿᵉʳ#8394,PRO_NOOB_GAMING_1902,Computer ( Java Edition ),Cracked
22,14.0,_TheHarshuG_#0124,THarshuYT,Computer ( Java Edition ),Cracked
23,20.0,PARADISEPALM#4086,PARADISEPALM,Mobile ( bedrock version ),Paid Version
24,18.0,Sxrxng#4275,sxrxng,Computer ( Java Edition ),Cracked
25,13.0,Dodopro#7328,adiiiiiiiiiiiiii,Computer ( Java Edition ),Cracked
26,14.0,Tanush#6188,Tanushwarrior,Computer ( Java Edition ),Cracked
27,12.0,Riyad,Riyad8646,Mobile ( bedrock version ),Cracked
28,15.0,Cutie.Cow#5134,GamerDuckie,Computer ( Java Edition ),Paid Version
29,16.0,DMR KRATOS#0658,DMR_KRATOS,Computer ( Java Edition ),Paid Version
30,15.0,Habav gaming#5478,tanmay gamer837,Mobile ( bedrock version ),Paid Version
31,2.0,ContMonster#5949,MonsterBeerusYT,Computer ( Java Edition ),Cracked
32,16.0,Ishwaak Saraogi#9617,SpyIshwaak1,Computer ( Java Edition ),Paid Version
33,15.0,ROCKDEEP#9835,ROCKDEEP,Computer ( Java Edition ),Paid Version
34,23.0,Mohammad Tashhid#3186,GamerBoy4801732,Mobile ( bedrock version ),Paid Version
35,15.0,@Bhavya#6821,Bhavya,Computer ( Java Edition ),Cracked
36,16.0,PRIANKSHU YT#8073,Priankshu,Computer ( Java Edition ),Cracked
37,16.0,abhi4832#9253,Abhi4832,Computer ( Java Edition ),Cracked
38,23.0,hargundeep#0631,Hargun_604,Computer ( Java Edition ),Cracked
39,16.0,Aryan pro#5587,TheUniqueGamer,Computer ( Java Edition ),Cracked
40,14.0,QatilGujar#0614,Qatil_Gujar,Computer ( Java Edition ),Cracked
41,15.0,Lord Star#4944,LordStar7,Computer ( Java Edition ),Cracked
42,15.0,Raj_nova,Rajsaha,Computer ( Java Edition ),Cracked
43,16.0,Byte fence gaming,ClownishHen9123,Mobile ( bedrock version ),Cracked
44,13.0,The_funny_gamer,The_funny_gamer,Computer ( Java Edition ),Paid Version
45,17.0,Nikhil#8914,Godyt03,Computer ( Java Edition ),Paid Version
46,15.0,@Amphion#2764,Amphion,Computer ( Java Edition ),Cracked
47,17.0,PRST#1049,Prst007,Computer ( Java Edition ),Cracked
